ID_OKEI;Name
3;Миллиметр
4;Сантиметр
5;Дециметр
6;Метр
8;"Километр;^тысяча метров"
9;"Мегаметр;^миллион метров"
15;Нанометр
18;Погонный метр
19;Тысяча погонных метров
20;Условный метр
39;Дюйм (25,4 мм)
41;Фут (0,3048 м)
43;Ярд (0,9144 м)
47;Морская миля (1852 м)
48;Тысяча условных метров
49;Километр условных труб
50;Квадратный миллиметр
51;Квадратный сантиметр
53;Квадратный дециметр
54;Тысяча квадратных дециметров
55;Квадратный метр
56;Миллион квадратных дециметров
57;Миллион квадратных метров
58;Тысяча квадратных метров
59;Гектар
60;Тысяча гектаров
61;Квадратный километр
62;Условный квадратный метр
63;Тысяча условных квадратных метров
64;Миллион условных квадратных метров
71;Квадратный дюйм (645,16 мм2)
73;Квадратный фут (0,092903 м2)
75;Квадратный ярд (0,8361274 м2)
81;Квадратный метр общей площади
82;Тысяча квадратных метров общей площади
83;Миллион квадратных метров общей площади
84;Квадратный метр жилой площади
85;Тысяча квадратных метров жилой площади
86;Миллион квадратных метров жилой площади
87;Квадратный метр учебно-лабораторных зданий
88;Тысяча квадратных метров учебно-лабораторных зданий
89;Миллион квадратных метров в двухмиллиметровом исчислении
109;Ар (100 м2)
110;Кубический миллиметр
111;"Кубический сантиметр;^миллилитр"
112;"Литр;^кубический дециметр"
113;Кубический метр
114;Тысяча кубических метров
115;Миллиард кубических метров
116;Декалитр
118;Децилитр
119;Тысяча декалитров
120;Миллион декалитров
121;Плотный кубический метр
122;Гектолитр
123;Условный кубический метр
124;Тысяча условных кубических метров
125;Миллион кубических метров переработки газа
126;Мегалитр
127;Тысяча плотных кубических метров
128;Тысяча полулитров
129;Миллион полулитров
130;"Тысяча литров;^1000 литров"
131;Кубический дюйм (16387,1 мм3)
132;Кубический фут (0,02831685 м3)
133;Кубический ярд (0,764555 м3)
159;Миллион кубических метров
160;Гектограмм
161;Миллиграмм
162;Метрический карат^(1 карат=200 мг=2.10[-4*] кг)
163;Грамм
164;Микрограмм
165;Тысяча каратов метрических
166;Килограмм
167;Миллион каратов метрических
168;"Тонна;^метрическая тонна (1000 кг)"
169;Тысяча тонн
170;Килотонна
171;Миллион тонн
172;Тонна условного топлива
173;Сантиграмм
175;Тысяча тонн условного топлива
176;Миллион тонн условного топлива
177;Тысяча тонн единовременного хранения
178;Тысяча тонн переработки
179;Условная тонна
181;Брутто-регистровая тонна (2,8316 м[3*])
185;Грузоподъемность в метрических тоннах
206;"Центнер (метрический)^(100 кг);^ гектокилограмм;^ квинтал[*] (метрический);^децитоннах"
207;Тысяча центнеров
212;Ватт
214;Киловатт
215;"Мегаватт;^тысяча киловатт"
222;Вольт
223;Киловольт
226;Вольт-ампер
227;Киловольт-ампер
228;Мегавольт-ампер (тысяча киловольт-ампер)
230;Киловар
231;Метр в час
232;Килокалория
233;Гигакалория
234;Тысяча гигакалорий
235;Миллион гигакалорий
236;Калория в час
237;Килокалория в час
238;Гигакалория в час
239;Тысяча гигакалорий в час
241;Миллион ампер-часов
242;Миллион киловольт-ампер
243;Ватт-час
245;Киловатт-час
246;"Мегаватт-час;^1000 киловатт-часов"
247;Гигаватт-час (миллион киловатт-часов)
248;Киловольт-ампер реактивный
249;Миллиард киловатт-часов
250;Тысяча киловольт-ампер реактивных
251;Лошадиная сила
252;Тысяча лошадиных сил
